house number	Street Name	zip	boro	registration id	last registration date	registration end date	bbl	bin	hpd building id	hpd buildings	corporation names	business addrs	owner names	all contacts	total violations	open violations	total complaints	recent complaints	recent complaints by type	units/res	year built	council	lat	lng	evictions	rsunits2007	rsunitslatest	rsunitslatestyear	rsdiff	yearstartedj51	yearstarted421a	lastsaleacrisid	lastsaledate	lastsaleamount	evictionfilings
342	West 49th St.	10019	Manhattan	128633	2024-07-02	2025-09-01	1010390057	1025161	33735	1	Goldmont Rearlty Corp; 344 West 49th St. Apt Corp	1360 EAST 14TH STREET 101 11230; 1360 EAST 14TH STREET ROOM1 11230; 1360 EAST 14TH STREET 11230	JONATHAN SAMET (Agent), JONATHAN SAMET (HeadOfficer), JONATHAN SAMET (Officer), HERALD SILVA (SiteManager)	JONATHAN SAMET (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; JONATHAN SAMET (HeadOfficer), 1360 EAST 14TH STREET ROOM1 BROOKLYN, NY 11230; JONATHAN SAMET (Officer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; HERALD SILVA (SiteManager); 344 WEST 49TH STREET APT CORP (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; GOLDMONT REALTY CORP (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	2	0	6	0		40	1910	3	40.7623868	-73.9888745				2023							0
1633	Lexington Ave.	10029	Manhattan	136472	2024-07-02	2025-09-01	1016310022	1051914	23971	1	U.S. Realty Corp; Metro Properties LLC	1360 EAST 14TH STREET 101 11230	LORENC AGAJ (SiteManager), MARVIN BASCH (Agent), LORENC AGAJ (HeadOfficer), MARVIN BASCH (Officer)	MARVIN BASCH (Agent), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; LORENC AGAJ (HeadOfficer), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; MARVIN BASCH (Officer), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; LORENC AGAJ (SiteManager); METRO PROPERTIES LLC (Corporation), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; U.S.REALTY CORP (Corporation), 1360 EAST 14TH STREET 101 BKLYN, NY 11230	1	0	2	0		6	1910	8	40.7903661	-73.9473068	1	6	6	2023	0						
1631	Lexington Ave.	10029	Manhattan	117753	2024-07-02	2025-09-01	1016310023	1051915	23970	1	U.S. Realty Corp; Metro Properties LLC	1360 EAST 14TH STREET 101 11230	MARVIN BASCH (Agent), LORENC AGAJ (HeadOfficer), MARVIN BASCH (Officer), LORENC AGAJ (SiteManager)	MARVIN BASCH (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; LORENC AGAJ (HeadOfficer), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; MARVIN BASCH (Officer), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; LORENC AGAJ (SiteManager); METRO PROPERTIES LLC (Corporation), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; U.S.REALTY CORP (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	9	0	9	0		6	1910	8	40.7903003	-73.9473538		6	6	2023	0						
153	East 103rd St.	10029	Manhattan	138188	2024-07-02	2025-09-01	1016310024	1051916	18927	1	U.S. Realty Corp; Metro Properties LLC	1360 EAST 14TH STREET 101 11230	MARVIN BASCH (Agent), LORENC AGAJ (SiteManager), LORENNC AGAJ (HeadOfficer), MARVIN BASCH (Officer)	MARVIN BASCH (Agent), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; LORENNC AGAJ (HeadOfficer), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; MARVIN BASCH (Officer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; LORENC AGAJ (SiteManager); METRO PROPERTIES LLC (Corporation), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; U.S.REALTY (Corporation), 1360 EAST 14TH STREET 101 BKLYN, NY 11230	7	6	15	2	HEAT/HOT WATER (2)	8	1976	8	40.7903084	-73.9470938		8	7	2023	-1						
174	East  109th St.	10029	Manhattan	135296	2024-07-16	2025-09-01	1016360044	1052124	19216	1	Greene Package Realty LLC; US Realty Corp	1360 EAST 14TH STREET 11230; 174 EAST 109TH STREET 10029	JONATHAN SAMET (Officer), JONATHAN SAMET (SiteManager), JONATHAN SAMET (Agent), LEON GOLDENBERG (HeadOfficer)	JONATHAN SAMET (Agent), 1360 EAST 14TH STREET BROOKLYN, NY 11230; LEON GOLDENBERG (HeadOfficer), 1360 EAST 14TH STREET BROOLYN, NY 11230; JONATHAN SAMET (Officer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; JONATHAN SAMET (SiteManager); GREENE PACKAGE REALTY LLC (Corporation), 174 EAST 109TH STREET NEW YORK, NY 10029; US REALTY CORP (Corporation), 1360 EAST 14TH STREET BROOKLYN, NY 11230	55	5	72	19	PLUMBING (5), DOOR/WINDOW (5), HEAT/HOT WATER (4), GARBAGE/RECYCLING STORAGE (2), APPLIANCE (2), PESTS (1)	4	1910	8	40.7936584	-73.9442272		0	0	2023	0			2018073000014001	2018-07-23	6107253	
162	East  109th St.	10029	Manhattan	105171	2024-07-16	2025-09-01	1016360047	1052127	19211	1	Greene Package Realty LLC; US Realty Corp	1360 EAST 14TH STREET 11230; 162 EAST 109TH STREET 10029	JONATHAN SAMET (Officer), JONATHAN SAMET (SiteManager), LEON GOLDENBERG (HeadOfficer), JONATHAN SAMET (Agent)	JONATHAN SAMET (Agent), 1360 EAST 14TH STREET BROOKLYN, NY 11230; LEON GOLDENBERG (HeadOfficer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; JONATHAN SAMET (Officer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; JONATHAN SAMET (SiteManager); GREENE PACKAGE RELATY LLC (Corporation), 162 EAST 109TH STREET NEW YORK, NY 10029; US REALTY CORP (Corporation), 1360 EAST 14TH STREET BROOKLYN, NY 11230	275	20	147	61	HEAT/HOT WATER (14), PLUMBING (9), DOOR/WINDOW (8), MOLD (7), PAINT/PLASTER (5), SAFETY (4), CABINET (4), WATER LEAK (3), GARBAGE/RECYCLING STORAGE (2), BELL/BUZZER/INTERCOM (2), PESTS (2), FLOORING/STAIRS (1)	20	1910	8	40.793738	-73.9444149	2	20	20	2023	0			2014060301338001	2014-05-29	1800000	24
1473	Amerstamdam Ave.	10027	Manhattan	126274	2024-07-16	2025-09-01	1019700063	1059634	5573	1	US REALTY CORP; GREENE PACKAGE REALTY LLC	1360 EAST 14TH STREET 11230; 1473 AMSTERDAM AVENUE 10027	JONATHAN SAMET (Officer), JONATHAN SAMET (Agent), LEON GOLDENBERG (HeadOfficer), JONATHAN SAMET (SiteManager)	JONATHAN SAMET (Agent), 1360 EAST 14TH STREET BROOKLYN, NY 11230; LEON GOLDENBERG (HeadOfficer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; JONATHAN SAMET (Officer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; JONATHAN SAMET (SiteManager); GREENE PACKAGE REALTY LLC (Corporation), 1473 AMSTERDAM AVENUE NEW YORK, NY 10027; US REALTY CORP (Corporation), 1360 EAST 14TH STREET BROOKLYN, NY 11230	203	18	157	21	WATER LEAK (5), HEAT/HOT WATER (5), PAINT/PLASTER (4), PESTS (4), JANITOR/SUPER (1), MOLD (1), DOOR/WINDOW (1)	4	1901	7	40.8172669	-73.9530769		0	0	2023	0			2018073000014001	2018-07-23	6107253	
634	West135th St.	10031	Manhattan	111910	2024-08-16	2025-09-01	1020010058	1059944	40795	1	US REALTY CORP; WEST 135 STREET 634 REALTY LLC	1360 EAST 14TH STREET 101 11230	angel fabian (Agent), ANGEL FABIAN (SiteManager), ANGEL FABIAN (Officer), angel fabian (HeadOfficer)	angel fabian (Agent), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; angel fabian (HeadOfficer), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; ANGEL FABIAN (Officer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; ANGEL FABIAN (SiteManager); US REALTY CORP (Corporation), 1360 EAST 14TH STREET 101 BKLYN, NY 11230; WEST 135 STREET 634 REALTY LLC (Corporation), 1360 EAST 14TH STREET 101 BKLYN, NY 11230	525	121	806	185	PLUMBING (43), HEAT/HOT WATER (33), PAINT/PLASTER (21), ELECTRIC (14), PESTS (14), MOLD (10), WATER LEAK (10), GARBAGE/RECYCLING STORAGE (8), FLOORING/STAIRS (8), LINE OF TRAVEL (5), APPLIANCE (4), DOOR/WINDOW (3), SAFETY (3), MAILBOX (2), JANITOR/SUPER (2), SEWAGE (2), BELL/BUZZER/INTERCOM (1), CABINET (1), SIGNAGE MISSING (1)	39	1926	7	40.8207078	-73.957504	1	37	35	2023	-2			2013091800975004	2013-09-11	5709428	10
287	Edegecombe Ave.	10031	Manhattan	101358	2024-08-16	2025-09-01	1020530020	1061127	21264	1	US REALTY CORP.; EDGECOMBE AVENUE 287 REALTY LLC	1360 EAST 14TH STREET 101 11230; 1360 1360TH EAST 14TH STREET SUITE 11230	ALFREDO FUESO (SiteManager), angel fabian (Officer), angel fabian (Agent), angel fabian (HeadOfficer)	angel fabian (Agent), 1360 1360TH EAST 14TH STREET SUITE BROOKLYN, NY 11230; angel fabian (HeadOfficer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; angel fabian (Officer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; ALFREDO FUESO (SiteManager); EDGECOMBE AVENUE 287 REALTY LLC (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; US REALTY CORP. (Corporation), 1360 1360TH EAST 14TH STREET SUITE BROOKLYN, NY 11230	272	65	404	54	HEAT/HOT WATER (37), PESTS (3), DOOR/WINDOW (3), WATER LEAK (3), GARBAGE/RECYCLING STORAGE (2), PAINT/PLASTER (2), ELECTRIC (1), MOLD (1), PLUMBING (1), FLOORING/STAIRS (1)	24	1909	9	40.8248243	-73.9433411		20	18	2023	-2			2005090100797001	2005-08-29	4282288	25
291	Edegecombe Ave.	10031	Manhattan	101357	2024-08-16	2025-09-01	1020530024	1061128	21265	1	EDGECOMBE AVENUE 291 REALTY LLC; US REALTY CORP.	1360 EAST 14TH STREET 101 11230; 1360 1360TH EAST 14TH STREET SUITE 11230; 1360 EAST 14TH STREET 1201 11230	angel fabian (HeadOfficer), ALFREDO FUESO (SiteManager), angel fabian (Agent), angel fabian (Officer)	angel fabian (Agent), 1360 1360TH EAST 14TH STREET SUITE BROOKLYN, NY 11230; angel fabian (HeadOfficer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; angel fabian (Officer), 1360 EAST 14TH STREET 1201 BROOKLYN, NY 11230; ALFREDO FUESO (SiteManager); EDGECOMBE AVENUE 291 REALTY LLC (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; US REALTY CORP. (Corporation), 1360 1360TH EAST 14TH STREET SUITE BROOKLYN, NY 11230	240	31	624	55	FLOORING/STAIRS (9), HEAT/HOT WATER (8), PAINT/PLASTER (8), PLUMBING (7), DOOR/WINDOW (7), SAFETY (5), ELECTRIC (3), PESTS (3), WATER LEAK (2), MOLD (1), SEWAGE (1), BELL/BUZZER/INTERCOM (1)	31	1909	9	40.8249807	-73.943229	1	23	16	2023	-7			2012091000929001	2012-08-30	2854743	13
