342 West 49th St., 40.7623868, -73.9888745, Manhattan, 10019, 2, 0,5
1633 Lexington Ave., 40.7903661, -73.9473068, Manhattan, 10029, 1, 0,5
1631 Lexington Ave., 40.7903003, -73.9473538, Manhattan, 10029, 9, 0,5
153 East 103rd St., 40.7903084, -73.9470938, Manhattan, 10029, 7, 6,5
174 East  109th St., 40.7936584, -73.9442272, Manhattan, 10029, 55, 5,5
162 East  109th St., 40.793738, -73.9444149, Manhattan, 10029, 275, 20,5
1473 Amerstamdam Ave., 40.8172669, -73.9530769, Manhattan, 10027, 203, 18,5
634 West135th St., 40.8207078, -73.957504, Manhattan, 10031, 525, 121,5
287 Edegecombe Ave., 40.8248243, -73.9433411, Manhattan, 10031, 272, 65,5
291 Edegecombe Ave., 40.8249807, -73.943229, Manhattan, 10031, 240, 31,5
635 Riverside Dr., 40.8244503, -73.9542208, Manhattan, 10031, 1322, 216,5
617 West 141st St. , 40.8245762, -73.9533572, Manhattan, 10031, 563, 16,5
544 West 158th St., 40.834162, -73.9437704, Manhattan, 10032, 277, 115,5
543 West 162nd St., 40.8370649, -73.9417442, Manhattan, 10032, 849, 130,5
145 Audubon Ave., 40.8429823, -73.9361912, Manhattan, 10032, 754, 111,5
605 West 156th St., 40.8340204, -73.9461448, Manhattan, 10032, 627, 89,5
625 West 156th St., 40.8342649, -73.94673, Manhattan, 10032, 214, 74,5
894 Riverside Dr., 40.8377369, -73.9464562, Manhattan, 10032, 1368, 138,5
40 Sherman Ave., 40.8631045, -73.9281677, Manhattan, 10040, 413, 86,5
2485 Devoe Terrace, 40.8651517, -73.9049292, Bronx, 10468, 1072, 188,5
90 Remsen St., 40.6940346, -73.9951858, Brooklyn, 11201, 0, 0,5
193 Columbia St., 40.6854051, -74.0022247, Brooklyn, 11231, 55, 4,5
191 Columbia St., 40.68546, -74.0021995, Brooklyn, 11231, 43, 7,5
154 Richard St., 40.6771401, -74.0108661, Brooklyn, 11231, 66, 41,5
768 45th St., 40.6440166, -74.001427, Brooklyn, 11220, 5, 2,5
759 46TH St., 40.6438684, -74.0017693, Brooklyn, 11220, 101, 65,5
640 Warren St., 40.6808004, -73.9800116, Brooklyn, 11217, 18, 4,5
882 Union St., 40.6730806, -73.972584, Brooklyn, 11215, 2, 2,5
560 Vanderbilt Ave., 40.6799112, -73.968399, Brooklyn, 11238, 2, 1,5
20 Butler Place, 40.6747154, -73.9683942, Brooklyn, 11238, 42, 17,5
1273 Pacific St., 40.6779066, -73.9502294, Brooklyn, 11216, 92, 29,5
170 Brooklyn Ave., 40.6742975, -73.9448281, Brooklyn, 11213, 46, 21,5
1514 Sterling Place, 40.6710938, -73.9287494, Brooklyn, 11213, 147, 99,5
896 Madison Street, 40.687794, -73.9217832, Brooklyn, 11221, 197, 27,5
917 Greene Ave., 40.6909645, -73.9308593, Brooklyn, 11221, 154, 58,5
861 Greene Ave., 40.6906777, -73.9333368, Brooklyn, 11221, 7, 4,5
880 Greene Ave., 40.6902822, -73.9327927, Brooklyn, 11221, 5, 1,5
908 Greene Ave., 40.6904078, -73.9317036, Brooklyn, 11221, 23, 2,5
914 Greene Ave., 40.6904351, -73.931444, Brooklyn, 11221, 21, 3,5
941 Fulton St., 40.6833989, -73.9652064, Brooklyn, 11238, 123, 90,5
